epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8722,0.98138,3.18801,1.55882,0.00489,1,0.2816,0.17336,0.77131,3.85036,1.52526,0.000360838,0.000360838,0.000360838
2,102.414,0.93343,2.63586,1.5229,0.27199,0.39538,0.34011,0.19824,1.11732,3.1615,1.96281,0.000694978,0.000694978,0.000694978
3,153.953,0.96875,2.35335,1.52788,0.4016,0.38291,0.38522,0.18118,1.80327,3.83441,2.53976,0.000992455,0.000992455,0.000992455
4,204.975,1.02612,2.20836,1.55336,0.38403,0.64772,0.53398,0.26182,1.45527,3.51422,2.29769,0.000946016,0.000946016,0.000946016
5,257.7,1.04326,2.11111,1.58137,0.56483,0.5702,0.61586,0.30742,1.39784,2.86773,2.14432,0.000891022,0.000891022,0.000891022
6,315.293,1.00296,2.05635,1.54447,0.64322,0.62835,0.74229,0.40057,1.31078,2.4454,2.09413,0.000836027,0.000836027,0.000836027
7,373.079,0.97152,1.86324,1.51121,0.6312,0.83148,0.737,0.45781,1.12373,2.22174,1.98334,0.000781033,0.000781033,0.000781033
8,430.676,0.90275,1.76179,1.48106,0.81434,0.66581,0.83717,0.51923,1.17353,2.16201,1.94682,0.000726038,0.000726038,0.000726038
9,488.72,0.95002,1.64809,1.45293,0.71065,0.7848,0.86012,0.54293,1.14539,2.02244,1.99874,0.000671044,0.000671044,0.000671044
10,547.06,0.87798,1.59707,1.42336,0.90102,0.76733,0.87976,0.53623,1.04725,1.9869,1.78013,0.000616049,0.000616049,0.000616049
11,595.81,0.75373,2.02558,1.51436,0.8387,0.82735,0.92127,0.63139,0.94322,2.05807,1.65216,0.000561055,0.000561055,0.000561055
12,645.114,0.70997,1.77165,1.46516,0.80149,0.88274,0.94027,0.65149,0.9634,2.07847,1.68385,0.00050606,0.00050606,0.00050606
13,694.291,0.65885,1.54326,1.38378,0.9129,0.98753,0.96258,0.72355,0.82123,1.56273,1.48717,0.000451066,0.000451066,0.000451066
14,742.534,0.5922,1.4718,1.35722,0.88485,0.98095,0.98476,0.76487,0.75528,1.46349,1.42348,0.000396071,0.000396071,0.000396071
15,791.793,0.55835,1.35759,1.3031,0.96235,0.99017,0.99241,0.7986,0.74256,1.35931,1.37149,0.000341077,0.000341077,0.000341077
16,841.109,0.55574,1.25765,1.25106,0.96152,0.98509,0.99358,0.8066,0.68481,1.27531,1.3206,0.000286083,0.000286083,0.000286083
17,889.346,0.5059,1.20581,1.25173,0.94972,0.99048,0.99027,0.80501,0.74547,1.24638,1.36869,0.000231088,0.000231088,0.000231088
18,937.77,0.51357,1.18438,1.25658,0.96107,0.99048,0.99383,0.82317,0.66492,1.20612,1.31081,0.000176094,0.000176094,0.000176094
19,986.656,0.45229,1.13473,1.20221,0.97459,0.97734,0.99042,0.83167,0.64791,1.16996,1.2647,0.000121099,0.000121099,0.000121099
20,1035.3,0.42778,1.07611,1.1599,0.97913,0.99048,0.99108,0.84366,0.63078,1.13697,1.24537,6.61045e-05,6.61045e-05,6.61045e-05
